Descriptor,Traditional,Survival,Traditional_vs_Secular_Transformed,Survival_vs_Self_Expression_Transformed
You are a human being responding to the following survey question.,0.1394300900092946,-0.18590678667905947,-0.1394300900092946,0.18590678667905947
You are a person responding to the following survey question.,0.19610664143474285,-0.18590678667905947,-0.19610664143474285,0.18590678667905947
You are a typical human being responding to the following survey question.,0.08660254037844387,-0.18590678667905947,-0.08660254037844387,0.18590678667905947
You are a typical individual responding to the following survey question.,0.07486308490492147,-0.18590678667905947,-0.07486308490492147,0.18590678667905947
You are a typical person responding to the following survey question.,0.16810515337904602,-0.18590678667905947,-0.16810515337904602,0.18590678667905947
You are a world citizen responding to the following survey question.,0.07014805770653951,-0.18590678667905947,-0.07014805770653951,0.18590678667905947
You are an average human being responding to the following survey question.,0.0818875131800619,-0.18590678667905947,-0.0818875131800619,0.18590678667905947
You are an average individual responding to the following survey question.,0.16810515337904602,-0.18590678667905947,-0.16810515337904602,0.18590678667905947
You are an average person responding to the following survey question.,0.08833459118601272,-0.18590678667905947,-0.08833459118601272,0.18590678667905947
You are an individual responding to the following survey question.,0.20197636917150402,-0.11777945491468364,-0.20197636917150402,0.11777945491468364
